steps,time_ms,linear_fit_ms
1.000000000000000000e+00,7.467600000000000453e-03,-1.888026922004594835e-02
5.000000000000000000e+01,2.148672000000000082e-01,2.150535594991740684e-01
1.000000000000000000e+02,4.427320000000000144e-01,4.537615479881740854e-01
2.000000000000000000e+02,8.947848000000000468e-01,9.311775249661741194e-01
3.000000000000000000e+02,1.428184600000000026e+00,1.408593501944174209e+00
4.000000000000000000e+02,1.869486399999999993e+00,1.886009478922174187e+00
5.000000000000000000e+02,2.381618200000000130e+00,2.363425455900173944e+00
